,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
95035,Punjab Circle,Punjab West Region,Jalandhar Division,Samipur BO,144026,BO,Delivery,JALANDHAR,PUNJAB,31.3524,75.6171
95036,Punjab Circle,Punjab West Region,Jalandhar Division,Wadala BO,144003,BO,Non Delivery,JALANDHAR,PUNJAB,31.3384,75.3531
95037,Punjab Circle,Punjab West Region,Jalandhar Division,Kalra BO,144030,BO,Non Delivery,JALANDHAR,PUNJAB,31.4087,75.8055
95038,Punjab Circle,Punjab West Region,Jalandhar Division,Bhojowal BO,144101,BO,Delivery,JALANDHAR,PUNJAB,31.3404,75.6717
95039,Punjab Circle,Punjab West Region,Jalandhar Division,Bolina Doaba BO,144101,BO,Delivery,JALANDHAR,PUNJAB,31.3404,75.6717
95040,Punjab Circle,Punjab West Region,Jalandhar Division,Parasrampur BO,144101,BO,Delivery,JALANDHAR,PUNJAB,31.3404,75.6717
95041,Punjab Circle,Punjab West Region,Kapurthala Division,Herran BO,144630,BO,Delivery,JALANDHAR,PUNJAB,31.374926,75.38421
95042,Punjab Circle,Punjab West Region,Kapurthala Division,Talwandi Bhairon BO,144630,BO,Delivery,JALANDHAR,PUNJAB,31.11101,75.7386
95043,Punjab Circle,DivReportingCircle,Patiala Division,Narru BO,140701,BO,Delivery,PATIALA,PUNJAB,29.68,76.99
95044,Punjab Circle,DivReportingCircle,Patiala Division,Sehra BO,140701,BO,Delivery,PATIALA,PUNJAB,30.46,76.49
95045,Punjab Circle,DivReportingCircle,Patiala Division,Pabri BO,140701,BO,Delivery,PATIALA,PUNJAB,30.46,76.52
95046,Punjab Circle,DivReportingCircle,Patiala Division,Basantpura BO,140402,BO,Delivery,PATIALA,PUNJAB,30.53,76.5
95047,Punjab Circle,DivReportingCircle,Patiala Division,Dhankansu Kalan BO,140402,BO,Delivery,PATIALA,PUNJAB,30.5,76.6
95048,Punjab Circle,DivReportingCircle,Patiala Division,Shamdoo BO,140402,BO,Delivery,PATIALA,PUNJAB,30.49,76.62
95049,Punjab Circle,DivReportingCircle,Patiala Division,Untsar BO,140417,BO,Delivery,PATIALA,PUNJAB,30.36,76.68
95050,Punjab Circle,Punjab West Region,Hoshiarpur Division,Ghamaur BO,144521,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.02,75.45
95051,Punjab Circle,Punjab West Region,Hoshiarpur Division,Kangna Bet BO,144521,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.06,75.84
95087,Punjab Circle,Punjab West Region,Hoshiarpur Division,Rattewal BO,144521,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.23,75.96
95088,Punjab Circle,Punjab West Region,Hoshiarpur Division,Takarala BO,144521,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.04,75.85
95089,Punjab Circle,Punjab West Region,Hoshiarpur Division,Bagowal BO,144522,BO,Delivery,Shahid Bhagat Singh Nagar,PUNJAB,31.25,75.84
95183,Punjab Circle,Punjab West Region,Bhatinda Division,Bhamme Kalan BO,151505,BO,Delivery,MANSA,PUNJAB,29.8774,75.3514
95184,Punjab Circle,Punjab West Region,Bhatinda Division,Kot Lallu BO,151505,BO,Delivery,MANSA,PUNJAB,29.9948,75.452
95185,Punjab Circle,Punjab West Region,Bhatinda Division,Lakhmir Wala BO,151505,BO,Delivery,MANSA,PUNJAB,29.8602,75.393
95186,Punjab Circle,Punjab West Region,Bhatinda Division,Mian BO,151505,BO,Delivery,MANSA,PUNJAB,29.8554,75.2384
95187,Punjab Circle,Punjab West Region,Bhatinda Division,Udit Bhagat Ram BO,151505,BO,Delivery,MANSA,PUNJAB,29.9034,75.331
95188,Punjab Circle,Punjab West Region,Bhatinda Division,Burj Sema BO,151509,BO,Delivery,BATHINDA,PUNJAB,30.0316,75.2401
95189,Punjab Circle,Punjab West Region,Bhatinda Division,Ghuman Kalan BO,151509,BO,Delivery,BATHINDA,PUNJAB,30.0814,75.2814
95190,Punjab Circle,Punjab West Region,Bhatinda Division,Raj Garh Kubbe BO,151509,BO,Delivery,BATHINDA,PUNJAB,30.0316,75.2401
95607,Punjab Circle,Punjab West Region,Faridkot Division,Sukha Nand BO,142049,BO,Delivery,MOGA,PUNJAB,30.78605,75.205
95608,Punjab Circle,Punjab West Region,Faridkot Division,Kapure BO,142054,BO,Delivery,MOGA,PUNJAB,30.8127248,75.1664797
95614,Punjab Circle,Punjab West Region,Kapurthala Division,Awan Bikeshah BO,144621,BO,Delivery,KAPURTHALA,PUNJAB,31.61279,75.52751
95615,Punjab Circle,Punjab West Region,Kapurthala Division,Jaid BO,144621,BO,Delivery,KAPURTHALA,PUNJAB,31.5423277,75.5058281
95616,Punjab Circle,Punjab West Region,Kapurthala Division,Nurpur Lubana BO,144804,BO,Delivery,KAPURTHALA,PUNJAB,31.51712,75.34815
95617,Punjab Circle,Punjab West Region,Kapurthala Division,Sangojla BO,144804,BO,Delivery,KAPURTHALA,PUNJAB,31.5423317,75.5058241
95618,Punjab Circle,Punjab West Region,Kapurthala Division,Lakhan Ke Padde BO,144802,BO,Delivery,KAPURTHALA,PUNJAB,31.43295,75.24975
95682,Punjab Circle,Punjab West Region,Faridkot Division,Kokri Heron BO,142054,BO,Delivery,MOGA,PUNJAB,30.85355,75.32305
95683,Punjab Circle,Punjab West Region,Faridkot Division,Kokri Khurd BO,142054,BO,Delivery,MOGA,PUNJAB,30.85355,75.32305
95710,Punjab Circle,DivReportingCircle,Patiala Division,Badochikalan BO,140405,BO,Delivery,FATEHGARH SAHIB,PUNJAB,30.55,76.37
95711,Punjab Circle,Punjab West Region,Kapurthala Division,Bariar BO,144621,BO,Delivery,KAPURTHALA,PUNJAB,31.61279,75.52751
95712,Punjab Circle,Punjab West Region,Kapurthala Division,Saiflabad BO,144804,BO,Delivery,KAPURTHALA,PUNJAB,31.5423327,75.5058231
95713,Punjab Circle,Punjab West Region,Kapurthala Division,Surkhpur BO,144804,BO,Delivery,KAPURTHALA,PUNJAB,31.51712,75.34815
95719,Punjab Circle,Punjab West Region,Faridkot Division,Dina BO,142046,BO,Delivery,MOGA,PUNJAB,30.5186108,75.2347756
95806,Punjab Circle,DivReportingCircle,Patiala Division,Jallah BO,140405,BO,Delivery,FATEHGARH SAHIB,PUNJAB,30.58,76.32
95807,Punjab Circle,DivReportingCircle,Patiala Division,Panjokha BO,140802,BO,Delivery,FATEHGARH SAHIB,PUNJAB,30.76,76.43
95808,Punjab Circle,DivReportingCircle,Patiala Division,Adampur BO,140406,BO,Delivery,FATEHGARH SAHIB,PUNJAB,30.57,76.4
95809,Punjab Circle,Punjab West Region,Hoshiarpur Division,Jhawan BO,144212,BO,Delivery,HOSHIARPUR,PUNJAB,31.67,75.66
95810,Punjab Circle,Punjab West Region,Hoshiarpur Division,Rajpur Gahot BO,144212,BO,Delivery,HOSHIARPUR,PUNJAB,31.24,75.84
96244,Punjab Circle,Punjab West Region,Bhatinda Division,Kalyan Sukha BO,151102,BO,Delivery,BATHINDA,PUNJAB,30.3753,75.1151
96245,Punjab Circle,Punjab West Region,Bhatinda Division,Poohla BO,151102,BO,Delivery,BATHINDA,PUNJAB,30.2982,75.1064
96246,Punjab Circle,Punjab West Region,Bhatinda Division,Alike BO,151104,BO,Delivery,BATHINDA,PUNJAB,30.3383,75.3208
