,Unnamed: 0,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
831,76757,Punjab Circle,Punjab West Region,Bhatinda Division,Burj Hari BO,151508,BO,Delivery,MANSA,PUNJAB,30.0861,75.3475
833,76759,Punjab Circle,Punjab West Region,Bhatinda Division,Makha Chelan BO,151504,BO,Delivery,MANSA,PUNJAB,30.06203,75.55568
835,76761,Punjab Circle,Punjab West Region,Bhatinda Division,Jhanduke BO,151101,BO,Delivery,BATHINDA,PUNJAB,29.7514,75.344
839,76953,Punjab Circle,Punjab West Region,Kapurthala Division,Malupur BO,144701,BO,Delivery,JALANDHAR,PUNJAB,31.125807,75.473293
840,76954,Punjab Circle,Punjab West Region,Kapurthala Division,Adarman BO,144041,BO,Delivery,JALANDHAR,PUNJAB,31.52747,75.8066
845,76959,Punjab Circle,Punjab West Region,Kapurthala Division,Bhullar BO,144040,BO,Delivery,JALANDHAR,PUNJAB,31.1449,75.4852
851,77052,Punjab Circle,DivReportingCircle,Patiala Division,Dakaunda BO,147104,BO,Delivery,PATIALA,PUNJAB,30.49,76.31
852,77053,Punjab Circle,DivReportingCircle,Patiala Division,Lataur BO,140406,BO,Delivery,FATEHGARH SAHIB,PUNJAB,30.55,76.4
853,77075,Punjab Circle,DivReportingCircle,Ludhiana Moffusil Division,Junewal BO,141126,BO,Delivery,LUDHIANA,PUNJAB,30.89107,75.87729
855,77124,Punjab Circle,DivReportingCircle,Patiala Division,Rampur Landiali BO,140408,BO,Delivery,FATEHGARH SAHIB,PUNJAB,30.63,76.54
862,77239,Punjab Circle,Punjab West Region,Bhatinda Division,Dhalewan BO,151502,BO,Delivery,MANSA,PUNJAB,30.027,75.5757
865,77242,Punjab Circle,Punjab West Region,Bhatinda Division,Ablu BO,151201,BO,Delivery,BATHINDA,PUNJAB,30.3369,74.7878
870,77247,Punjab Circle,Punjab West Region,Bhatinda Division,Adamke BO,151506,BO,Delivery,MANSA,PUNJAB,29.7124,75.3245
873,77250,Punjab Circle,Punjab West Region,Bhatinda Division,Ralla BO,151510,BO,Delivery,MANSA,PUNJAB,30.1196,75.4333
886,77530,Punjab Circle,Punjab West Region,Faridkot Division,Bambhia Bhai Ka BO,151208,BO,Delivery,MOGA,PUNJAB,30.131256,74.7095492
914,78094,Punjab Circle,Punjab West Region,Kapurthala Division,Chakoki BO,144624,BO,Delivery,KAPURTHALA,PUNJAB,31.5423307,75.5058251
930,78156,Punjab Circle,Punjab West Region,Amritsar Division,Babowal BO,143119,BO,Delivery,AMRITSAR,PUNJAB,31.71,75.11
937,78427,Punjab Circle,DivReportingCircle,Sangrur Division,Nainewal BO,148102,BO,Delivery,BARNALA,PUNJAB,30.427371,75.326707
953,78757,Punjab Circle,DivReportingCircle,Sangrur Division,Dangarh BO,148105,BO,Delivery,BARNALA,PUNJAB,28.167387,78.207737
971,79309,Punjab Circle,DivReportingCircle,Ludhiana Moffusil Division,Saharan Majra BO,141117,BO,Delivery,LUDHIANA,PUNJAB,30.661316,75.901319
975,79320,Punjab Circle,Punjab West Region,Hoshiarpur Division,KHANAURA BO,144404,BO,Delivery,HOSHIARPUR,PUNJAB,31.81726,75.657304
988,79389,Punjab Circle,Punjab West Region,Bhatinda Division,Dalelwala BO,151503,BO,Delivery,MANSA,PUNJAB,29.8295,75.4148
